English,Image,Audio,Type,Word_1,Word_2,Word_3,Word_4,Word_Example_1,Word_Example_2,Word_Example_3,Word_Example_4,Arabic,Chinese_HK,Chinese_CH,Chinese_TW,French,Dutch,German,Greek,Hindi,Indonesian,Italian,Japanese,Korean,Malay,Polish,Portuguese_BR,Portuguese_PT,Russian,Spanish,Thai,Vietnamese,Word_Example_1_Audio,Word_Example_2_Audio,Word_Example_3_Audio,Word_Example_4_Audio,Tag
"But in the end, I did okay. So if I can do it, you can do it.""","<img src=""eight_traits_of_successful_people_048.jpg"">",[sound:eight_traits_of_successful_people_048.wav],But in the end I did okay So if I can do it you can do it,"in the end: phrase meaning “finally, after all”","if I can do it, you can do it: motivational structure",,,"In the end, their efforts paid off with great success.","If I can learn to cook, you can do it too.",,,لكن في النهاية، لقد أبليت جيدًا، لذا طالما استطعت أنا فعلها، فيمكنك أنت أيضًا,,但是最后我做得还行。所以如果我能做到的话，你也可以,但現在的我，也還算過得去,"Mais in fine, les choses n’ont pas trop mal tourné.",bediening en ik hier oké zal ik hem doen,Aber letztendlich kam ich durch.,,,"Tapi akhirnya, saya cukup berhasil.","Ma alla fine, è andata bene.",でも結局 大丈夫だったよ,하지만 결국 나는 괜찮게 했어.,,Jednak wszystko się jakoś ułożyło.,"Mas no final, foi tudo bem.","""Mas, por fim, consegui.",Но в конце концов всё получилось.,"Pero al final, lo hice bien.",แต่ในที่สุด ผมก็ทำมันได้ดี,"Nhưng cuối cùng thì, bác đã làm tốt.",[sound:hypertts-d0325fb6ebdc0f73edaab566708f606a99d57ccd7a6e3fafe063ae09.mp3],[sound:hypertts-5eeb1e892510704f649877c3a0ff11e0e8806e54d27c312fe63d373b.mp3],,,eight_traits_of_successful_people ted-ed
"And then she asked me the big question:<br>""Okay, so what really leads to success?""","<img src=""eight_traits_of_successful_people_049.jpg"">",[sound:eight_traits_of_successful_people_049.wav],And then she asked me the big question Okay so what really leads to success,the big question: phrase for most important inquiry,leads to success: phrase showing cause-effect with success,,,The scientist raised the big question of whether life exists on other planets.,Consistent effort and resilience often lead to success.,,,"ومن ثم سألتني السؤال الكبير:<br>""حسنًا، ما الذي يؤدي حقًا إلى النجاح؟""",,之后，她问了我一个更复杂的问题，是什么导致你能成功,然後她問了一個終極問題<br>「那成功的條件到底是什麼?」,"Alors, elle m’a posé la question à 100 balles :<br>« OK ! C’est quoi la recette du succès ? »",oké zo we really liefste succes als je,"Dann stellte sie mir die große Frage:<br>""Was führt dann wirklich zu Erfolg?""",,,"Lalu dia menanyakan pertanyaan besarnya:<br>""Jadi sebenarnya apa yang menyebabkan keberhasilan?""","E allora lei mi ha fatto la grande domanda:<br>""Ok, allora cosa porta realmente al successo?""",そこで少女は大きな質問を 投げかけたんです<br>「そう じゃあ成功するには どうしたらいいの」,"그러자 그녀는 큰 질문을 던졌어요,<br>""좋아요. 그러면 성공으로 이끄는 건 정말 뭘까요?""",,"Wtedy zadała mi ważne pytanie, ""Co naprawdę wiedzie do sukcesu?"".","E aí ela fez a grande pergunta:<br>""Certo, então o que realmente leva ao sucesso?""","Então, ela fez-me a pergunta importante:<br>""Ok, então, o que é que leva ao êxito?""",Затем она задала мне главный вопрос:<br>«Что приводит к успеху?»,"Y entonces ella me hizo la gran pregunta:<br>""¿Qué es lo que realmente lleva al éxito?""","""เอาล่ะ แล้วอะไรที่นำไปสู่ความสำเร็จ?""","Thế rồi, cô bé đã hỏi tôi một câu hỏi lớn:<br>""Vâng, vậy điều gì thực sự làm nên thành công?""",[sound:hypertts-b4113b5414bc36b8b0505b2fe4770b5529ebb7099f62d8463138fa40.mp3],[sound:hypertts-edec2ef3a4626bccca8fc4b40f248cfc9c250c34b4903a43bf69671d.mp3],,,eight_traits_of_successful_people ted-ed
"I said, ""Jeez, sorry. I don't know.","<img src=""eight_traits_of_successful_people_050.jpg"">",[sound:eight_traits_of_successful_people_050.wav],I said Jeez sorry I dont know,Jeez: informal exclamation (mild surprise),somehow: adverb for unknown manner,I don’t know how I did it: phrase for disbelief in own achievement,,"Jeez, I didn’t expect to see you here!","Somehow, she managed to solve the problem in minutes.","I don’t know how I did it, but I passed the toughest exam.",,"قلت:""عذرًا، لا أعرف",,我说，“天哪，对不起，我不知道。,我回答：「哎呀，不好意思，我不知道,« Je n’en ai absolument aucune idée.,qi sorry,"Ich sagte: ""Himmel! Keine Ahnung.",,,"Saya bilang, ""Maaf, aku tidak tahu.","Ho detto: ""Accidenti, non lo so.",私は言いました 「ごめん 分からない,"제가 말했죠. ""아이구, 미안. 모르겠는데.",,"Powiedziałem, że nie wiem, jakoś mi się udało, ale nie wiem jak.","Eu disse: ""Nossa, desculpa, não sei.","Eu disse: ""Lamento, mas não sei.","Я сказал: «Чёрт побери, прости. Я не знаю.","Le dije: ""Por Dios, lo siento. No lo sé.","ผมบอกเธอ ""โอ้ ขอโทษด้วย ผมไม่รู้หรอก""","Tôi nói: ""Jeez, xin lỗi, bác không biết.",[sound:hypertts-a9981eb523186429d8569e98de136b51a64a5e51c1d89629737e8416.mp3],[sound:hypertts-86d42c6e61439c4cd0384ba0db300e91d5b10aa7d17b4c761c971423.mp3],[sound:hypertts-39852ce75bec0e66eabcb6012462e39f673f5ee5f4a75b9db51413e4.mp3],,eight_traits_of_successful_people ted-ed
"I guess somehow I did it. I don't know how I did it.""","<img src=""eight_traits_of_successful_people_051.jpg"">",[sound:eight_traits_of_successful_people_051.wav],I guess somehow I did it I dont know how I did it,,,,,,,,,"أعتقد أنني فعلتها بطريقة ما ولكني لا أعرف كيف قمت بذلك!""",,我猜不知怎的我做到了，但是我不知道我是如何做到的,我想我是以某種方式做到了,"J’imagine que j’ai trouvé un chemin, par hasard, et ça a marché. »",arno exam guide eren arjan hai tere,"Irgendwie habe ich das geschafft, aber keine Ahnung, wie.""",,,"Sepertinya aku telah berhasil. Entah bagaimana caranya.""","Credo che in qualche modo ce l'ho fatta, ma non so come.""",どうにかできたけど どうやったのかよく分からない」と,어쨋든 제가 성공은 했지만 어떻게 했는지는 몰랐습니다.,,,"De alguma forma eu consegui. Mas não sei como consegui.""","""Acho que consegui, mas não sei como"".","Я думаю, как-то это мне удалось. Но я не знаю, как я это сделал».","Supongo que de alguna manera lo hice, pero no sé cómo"".","ผมก็แค่ทำมันจนสำเร็จ แต่ไม่รู้ว่าจริง ๆ แล้วมันต้องทำอย่างไร""","bằng cách nào đó bác đã làm được. nhưng bác không biết đã làm như thế nào"".",,,,,eight_traits_of_successful_people ted-ed
"So I get off the plane and go to the TED conference,<br>and I'm standing in a room full of extraordinarily successful people<br>in many fields -- business, science, arts,<br>health, technology, the environment --<br>when it hit me:<br>Why don't I ask them what helped them succeed,<br>and find out what really leads to success for everyone?","<img src=""eight_traits_of_successful_people_052.jpg"">",[sound:eight_traits_of_successful_people_052.wav],So I get off the plane and go to the TED conference and Im standing in a room full of extraordinarily successful people in many fields  business science arts health technology the environment  when it hit me Why dont I ask them what helped them succeed and find out what really leads to success for everyone,extraordinarily successful: phrase for very high achievement,when it hit me: phrase meaning “when I suddenly realized”,,,He is an extraordinarily successful entrepreneur with global influence.,"When it hit me that I’d lost my passport, panic set in.",,,ثم نزلت من الطائرة، و ذهبت إلى مؤتمر TED<br>وها أنا أقف في غرفة مليئة بأشخاص ناجحين نجاح لا مثيل له<br>في مجالات عديدة: كالأعمال التجارية والعلوم، والفنون<br>والصحة، والتكنولوجيا، والبيئة<br>عندها جاءتني الفكرة<br>لماذا لا أسألهم ما الذي ساعدهم على النجاح<br>و عندها سأعرف ما الذي يؤدي للنجاح فعلًا للجميع,,于是之后我下了飞机，去参加了TED会议，<br>我站在一屋子杰出的成功人士中间，<br>各种领域的人都有，商业界，科学界，艺术界<br>健康领域，科技领域，环境领域<br>当轮到我的时候<br>当轮到我的时候<br>这样的话，我就能够知道,於是，我下了飛機去參加TED大會<br>當時站在我周圍的， 都是各個領域的成功人士<br>我突然靈機一動<br>我突然靈機一動<br>或許能從中找出任何人 都能適用的成功條件,"Je descends de l’avion, et je me rends à TED.<br>Là, je partage la salle avec plein de gens brillants qui ont réussi<br>dans des domaines divers : les affaires, les sciences, l’art,<br>la santé, la technologie, l’environnement.<br>J’ai eu une illumination :<br>J’ai eu une illumination :",soldier of de planning committee for<br>some sterren room for extraordinarily<br>warme<br>wanneer het niet waarom mensen maar<br>helpt en sexy and finally reached a,"Ich steige aus dem Flugzeug, gehe zur TED-Konferenz<br>und bin dann in einem Raum voller außergewöhnlich erfolgreicher Leute<br>aus vielen Feldern -- Wirtschaft, Wissenschaft, Kunst,<br>Gesundheit, Technologie, Umwelt, als mir klar wurde:<br>Warum frage ich sie nicht, was ihnen zu Erfolg verholfen hat<br>und finde raus, was wirklich für jeden zu Erfolg führt?",,,"Lalu saya turun dari pesawat dan pergi ke konferensi TED,<br>dan saya berdiri di antara begitu banyak orang yang sangat berhasil<br>di bermacam bidang -- bisnis, sains, kesenian,<br>kesehatan, teknologi, lingkungan hidup -- ketika saya menyadari:<br>Mengapa tidak saya tanyakan apa penyebab keberhasilan mereka,<br>Mengapa tidak saya tanyakan apa penyebab keberhasilan mereka,<br>dan menemukan apa sebenarnya yang menyebabkan keberhasilan?","Così sono sceso dall'aereo e sono andato alla conferenza TED,<br>ero in una stanza piena di persone veramente affermate<br>in molti ambiti - business, scienza, arte,<br>salute, tecnologia e ambiente - quando mi sono detto:<br>perché non chiedere a loro<br>e scoprire cosa porta realmente al successo?",飛行機を降りて TED会場に行くと<br>そこには様々な分野で 大成功を納めた人々が<br>ひしめいていました ビジネス 科学 芸術<br>健康 テクノロジー 環境･･･<br>そこで思ったんです この人達に聞いてみたらどうかと<br>そして 誰もが成功を手に入れられる方法を 見つけ出そうと,"저는 비행기에서 내려 TED 회의에 갔고<br>많은 분야에서 성공한 사람들로 가득찬 방에 서 있었죠.<br>건강, 기술, 환경 그때 생각이 떠올랐어요.<br>무엇이 그들을 성공하게 도왔는지<br>무엇이 정말로 성공으로 이끌었는지 물어보면 어떨까?",,"Przyjechałem na konferencję TED<br>i stanąłem w sali pełnej ludzi sukcesu z wielu branży, biznesu, nauki, sztuki,<br>zdrowia, technologii, środowiska i wtedy dotarło do mnie,<br>że mogę ich zapytać, co sprawiło, że odnieśli sukces i dowiedzieć się,","Então saí do avião e fui para a conferência do TED,<br>e lá estava em uma sala cheia de pessoas incrivelmente bem-sucedidas<br>em várias áreas: negócios, ciência, artes, saúde, tecnologia, meio ambiente;<br>Então me ocorreu:<br>Porque não perguntar o que as ajudou a ter sucesso,<br>e descobrir o que realmente leva as pessoas ao sucesso?","Saí do avião e fui para a conferência da TED.<br>Estou numa sala cheia de pessoas com um êxito tremendo<br>em muitas áreas  negócios, ciência,<br>artes, saúde, tecnologia, ambiente <br>quando me lembrei:<br>quando me lembrei:<br>para descobrir o que é que leva as pessoas a ter êxito?","Я вышел из самолёта и отправился на конференцию TED,<br>я стою в комнате полной необычайно успешных людей<br>во многих сферах  в бизнесе, науке, искусстве,<br>здравоохранении, технике, защите окружающей среды  и меня осенило:<br>почему бы не спросить их, что помогло им преуспеть,<br>и выяснить, что действительно вело к успеху каждого из них?","Bajé del avión y fui a la Conferencia TED,<br>y estaba en una sala llena de gente extraordinariamente exitosa<br>en muchos campos: negocios, ciencia, artes,<br>salud, tecnología, medio ambiente... cuando me dije:<br>¿Por qué no les pregunto qué les ayudó a tener éxito,<br>y averiguar lo que realmente conduce al éxito?",เมื่อผมลงจากเครื่องบิน และไปร่วมงานประชุม TED<br>ได้ยืนอยู่ในห้องที่เต็มไปด้วยผู้คน. ที่ประสบความสำเร็จอย่างมาก<br>ในหลายสาขา ทั้งด้านธุรกิจ วิทยาศาสตร์ ศิลปะ<br>สุขภาพ เทคโนโลยี สิ่งแวดล้อม แล้วผมก็ฉุกคิดขึ้นมาว่า<br>ทำไมผมไม่ถามผู้คนเหล่านั้น ว่าอะไรช่วยให้เขาประสบความสำเร็จ<br>และค้นหาสิ่งที่จะนำพาทุกคน ไปสู่ความสำเร็จได้จริง,"Tôi hạ cánh, đến hội thảo TED<br>và đứng trong khán phòng đầy đủ những người thành công<br>trong nhiều lĩnh vực --kinh doanh, khoa học nghệ thuật,<br>y tế, công nghệ, môi trường-- có điều gì đó thôi thúc tôi:<br>Tại sao không hỏi họ xem điều gì đã giúp họ thành công,<br>và tìm ra điều gì thực sự làm nên thành công cho chúng ta.",[sound:hypertts-a2b2028805265af0844ab2996c02be741f4eadd5e0c921e3527e2980.mp3],[sound:hypertts-1793a726ca6a993bf177d115d54711adcd95456193fe9e8bdb7cc54b.mp3],,,eight_traits_of_successful_people ted-ed
"So I was all excited to get out there and start talking to these great people,<br>when the self-doubt set in.","<img src=""eight_traits_of_successful_people_053.jpg"">",[sound:eight_traits_of_successful_people_053.wav],So I was all excited to get out there and start talking to these great people when the selfdoubt set in,all excited: very eager and enthusiastic,get out there: go and take action confidently,self-doubt set in: uncertainty began to grow,,She was all excited to present her research to the international panel.,You need to get out there and show the world what you can do.,"As the exam began, self-doubt set in and she froze.",,لذا كنت متحمس للخروج وبدء الحديث مع هؤلاء الأشخاص العظماء<br>عندما هاجمني الشك الذاتي,,所以我很激动我能够有机会参加这次会议<br>但是，呃。。。为什么那些人会愿意和我谈话呢？,我滿腔熱血得正想加入 這些偉大的人高談闊論一番時<br>我遲疑了一下,"J’étais très excité à l’idée de parler avec ces personnes impressionnantes,<br>mais le doute m’a envahi.",zoals ik zei de de grote herstart<br>mezelf duitse i am in love you wanna,"Ich wollte sofort loslegen und mit all den großartigen Menschen reden,<br>als der Selbstzweifel einsetzte.",,,"Saya tidak sabar untuk bertemu dan berbicara dengan orang-orang hebat ini,<br>ketika keraguan muncul.","Non vedevo l'ora di iniziare a parlare con quelle persone fantastiche,<br>quando è venuta a galla l'insicurezza.",それで素晴らしい人達と話をしようと ワクワクしていましたが<br>疑問が頭をもたげました,저는 이렇게 훌륭한 사람들에게 물어볼 것을 생각하니 흥분이 되었죠.<br>그때 자기 회의가 들었습니다.,,"Byłem już gotowy iść i zacząć rozmowy, ale pojawił się mój brak wiary w siebie.","Já estava animado para ir conversar com essas pessoas incríveis,<br>mas então a insegurança bateu.",Fiquei entusiasmado para começar a falar com aquelas pessoas importantes<br>quando se instalou em mim uma dúvida.,"Я так сильно хотел выйти и поговорить с этими великими людьми,<br>но начал сомневаться.","Así que estaba emocionado de salir y hablar con estas grandes personas,<br>cuando empecé a dudar.",ทันใดนั้น ผมรู้สึกตื่นเต้นมาก และเริ่มสนทนากับผู้คนระดับสุดยอดเหล่านั้น<br>แต่ความสงสัยก็บังเกิดขึ้นในใจ,"Sau hội thảo, tôi e dè bắt chuyện với những người thành công này.",[sound:hypertts-079b85128790edd7a0c296188e45d9e1eee3ac54dc3401f60d993aa4.mp3],[sound:hypertts-99407d02a0378aeabb158a5e93dc1f6700b57f3f21d844298944a7e2.mp3],[sound:hypertts-72ffe2015d8f814cf6ed14f0ac252928768180a68f6a9d436b39aad1.mp3],,eight_traits_of_successful_people ted-ed
"I mean, why would people want to talk to me?","<img src=""eight_traits_of_successful_people_054.jpg"">",[sound:eight_traits_of_successful_people_054.wav],I mean why would people want to talk to me,I mean: filler phrase to clarify or emphasize,why would…?: rhetorical question showing self-doubt,,,"I mean, it’s not that I disagree, but I need more proof.",Why would anyone invest in a failing company?,,,أعني، لماذا سيريدون التحدث معي؟,,,跟他們比起來... 我算哪根蔥阿?,"Après tout, il n’y avait aucune raison qu'ils me parlent.",,Warum sollten diese Menschen mit mir reden wollen?,,,Kenapa orang mau berbicara dengan saya?,Perché le persone dovrebbero voler parlare con me?,自分なんかに 話してくれるだろうかと,왜 사람들이 나한테 말하고 싶어할까?,,Czemu mieliby ze mną rozmawiać?,Por que essas pessoas iriam querer falar comigo?,Porque é que as pessoas haviam de querer falar comigo?,Почему люди захотят поговорить со мной об этом?,"Quiero decir, ¿por qué la gente querrá hablar conmigo?",ผมหมายถึงว่า แล้วทำไมผู้คนเหล่านี้ ถึงอยากคุยกับผมล่ะ,"Ý tôi là, tại sao họ lại muốn nói chuyện với tôi cơ chứ?",[sound:hypertts-b9a0317be57496529ccd7fec3f1545b73696a19848e9e69e0460f5a7.mp3],[sound:hypertts-9d50a7849aa1cb799394a1881b1e0d1c90b6e03d62ca2a15aaa76ea1.mp3],,,eight_traits_of_successful_people ted-ed
I'm not a famous journalist. I'm not even a journalist.,"<img src=""eight_traits_of_successful_people_055.jpg"">",[sound:eight_traits_of_successful_people_055.wav],Im not a famous journalist Im not even a journalist,not even: phrase for strong contrast or emphasis,,,,She didn’t even say goodbye before leaving the country.,,,,فأنا لست صحفي شهير، أنا لست حتى صحفي,,我不是什么著名的新闻人士，我甚至都算不上是新闻人士,我並不是名記者， 而且根本連記者都稱不上,Je ne suis pas un journaliste célèbre. Je ne suis même pas journaliste.,fingers her last van nou even juules,"Ich bin kein berühmter Journalist, ich bin nicht mal ein Journalist.",,,Saya bukan seorang jurnalis ternama. Saya bahkan bukan seorang jurnalis.,Non sono un giornalista famoso. Non sono nemmeno un giornalista.,有名なジャーナリストじゃないし ジャーナリストですらない,나는 유명한 기자도 아니고 기자도 아니야.,,"Nie jestem sławnym dziennikarzem, nawet nie jestem dziennikarzem.",Não sou um jornalista famoso. Nem mesmo sou jornalista.,"Não sou um jornalista famoso, nem sequer sou jornalista.","Я не известный журналист, я вообще не журналист.",No soy un periodista famoso. Ni siquiera periodista.,ผมไม่ใช่ผู้สื่อข่าวชื่อดัง จริงๆ แล้วผมไม่ใช่ผู้สื่อข่าวด้วยซ้ำ,"Tôi không phải là nhà báo nổi tiếng, thậm chí còn không phải là nhà báo.",[sound:hypertts-f22adedb1e665731e4fa3ce604d2b7749d93c3b61ab43c6d4ee8550a.mp3],,,,eight_traits_of_successful_people ted-ed
"So I was ready to stop the project before it even began,<br>when who comes walking towards me but Ben Cohen,<br>the famous co-founder of Ben and Jerry's ice cream.","<img src=""eight_traits_of_successful_people_056.jpg"">",[sound:eight_traits_of_successful_people_056.wav],So I was ready to stop the project before it even began when who comes walking towards me but Ben Cohen the famous cofounder of Ben and Jerrys ice cream,before it even began: phrase stressing how early something ended,who comes … but …: dramatic narrative structure,co-founder: someone who starts a company with another,,The show was canceled before it even began due to funding issues.,I was about to give up when who comes to help me but my old teacher.,Steve Jobs was the co-founder of Apple.,,لذلك كنت مستعداً لأوقف المشروع من قبل حتى أن يبدأ<br>وعندما لم أنتبه إلى الشخص الذي كان يتجه ناحيتي فكان بن كوهين<br>الشريك المؤسس الشهير لـ بن وجيري للآيس كريم,,所以其实在我开始讲我的话题之前，我就准备好中止了<br>当本.科恩走向我的时候，就是那个著名的　　　“本和杰瑞冰激凌”创始人,還沒開始我就已經打退堂鼓了<br>這時，猜猜誰走過來了？<br>班傑瑞冰淇淋的的知名共同創始人,J’étais sur le point d'enterrer mon projet avant sa naissance.<br>Mais Ben Cohen m’a interrompu.<br>Ben est le co-fondateur des crèmes glacées Ben&Jerry.,zoals u weet de stad de project before<br>the big air van uw kans walking towards<br>remco mijn naam is professor ben en,"Ich war bereit, das Projekt zu beenden, bevor es angefangen hatte,<br>als ausgerechnet Ben Cohen auf mich zukam,<br>der berühmte Mitbegründer von Ben and Jerry's Eiscreme.",,,"Saya sudah siap menyerah bahkan sebelum proyeknya mulai,<br>tapi tebak siapa yang berjalan ke arah saya, Ben Cohen,<br>salah satu penemu es krim Ben and Jerry's yang terkenal.","Ero pronto ad abbandonare il progetto ancor prima di averlo iniziato,<br>quando mi venne incontro addirittura Ben Cohen,<br>il famoso cofondatore dei gelati Ben and Jerry's.",始める前から無理だろうと 思っていました<br>そこへやってきたのが 他の誰でもない ベン・コーエン<br>あの有名なベン＆ジェリー アイスクリームの創業者です,저는 시작하기도 전에 프로젝트를 관둘려고 했어요.<br>그때 벤 코헨이 저를 향해 걸어왔습니다.<br>유명한 벤과 제리 아이스크림의 공동 창립자입니다.,,"Byłem gotów rzucić projekt, zanim jeszcze się zaczął, ale zobaczyłem,","Então estava pronto para cancelar o projeto antes mesmo que ele começasse,<br>quando veio em minha direção o Ben Cohen,<br>famoso cofundador do sorvete Ben and Jerry.","Estava quase a desistir do projeto, antes de ter começado,<br>quando vejo vir na minha direção Ben Cohen,<br>o famoso cofundador dos gelados Ben and Jerry's.","Я был готов остановить свой проект до его начала,<br>в это время ко мне подошёл не кто иной, как Бен Коэн, <br>знаменитый учредитель Ben and Jerry's Ice Cream.","Así que estaba dispuesto a detener el proyecto antes de comenzar,<br>cuando vi que venía hacia mí Ben Cohen,<br>el famoso cofundador de la compañía de helados Ben y Jerry.",ทันใดนั้น เบน โคเฮน ก็เดินผ่านมาทางผม<br>เขาคือผู้ร่วมก่อตั้งไอศครีม เบน แอนด์ เจอรี่ (Ben and Jerry's) ผู้โด่งดัง,"Dự án có nguy cơ thất bại ngay cả trước khi bắt đầu,<br>cho đến khi Ben Cohen, đồng sáng lập<br>hãng kem Ben và Jerry nổi tiếng đến trước mặt tôi.",[sound:hypertts-ff9002d41129b934662bbd13beb03c86656e68a6c1752fd05f6586a1.mp3],[sound:hypertts-8361516086d76ff4e1a1fba7bc919fa61338b0efe6be021c82efe34b.mp3],[sound:hypertts-241d2b8d223fcc8adf9fef65d874e11223aae1d375f4f876b1661b96.mp3],,eight_traits_of_successful_people ted-ed
I figured it was now or never.,"<img src=""eight_traits_of_successful_people_057.jpg"">",[sound:eight_traits_of_successful_people_057.wav],I figured it was now or never,figured: informal “thought/decided”,now or never: phrase meaning last chance,,,I figured she must have taken the last train home.,"It was now or never, so he confessed his feelings.",,,أدركت لحظتها إنه إما الآن أو لن يحدث أبدًا,,我意识到机不可失，失不再来,此時不待，更待何時?,C’était maintenant ou jamais.,mijn video is now or never right to,"Ich erkannte die Chance, kämpfte mich durch den Selbstzweifel,",,,"Saya pikir sekarang atau tidak sama sekali. Saya menyingkirkan keraguan,","Ho pensato, ""O adesso o mai più."" Ho scacciato ogni dubbio",今しかないと思い 不安を何とか押しのけ,저는 지금이 아니면 절대 못한다는 생각에 의심을 밀치고 나갔죠.,,"Zrozumiałem, że to moja szansa, teraz albo nigdy.","Então pensei: é agora ou nunca. Atropelei a insegurança,",Pensei que ou era agora ou nunca.,"Я решил: сейчас или никогда, я отбросил неуверенность в себе,","Pensé, ahora o nunca. Me abrí paso con mis propias dudas,",ผมตัดสินใจว่า เป็นไงเป็นกัน แล้วก็ก้าวข้ามความลังเลในจิตใจ,"Đó là cơ hội không thể bỏ lỡ. Vượt qua sự thiếu tự tin,",[sound:hypertts-1ba88e8b638076e67dedcb391a9a1a7819059269c046e8352cf6bf7f.mp3],[sound:hypertts-167b0da53da3bebe538b415d93ba4f8df4dacb5686089d90d854dd50.mp3],,,eight_traits_of_successful_people ted-ed
"I pushed through the self-doubt,<br>jumped out in front of him, and said,<br>""Ben, I'm working on this project.","<img src=""eight_traits_of_successful_people_058.jpg"">",[sound:eight_traits_of_successful_people_058.wav],I pushed through the selfdoubt jumped out in front of him and said Ben Im working on this project,pushed through: overcame despite difficulty,"jumped out in front of: sudden, bold action",,,She pushed through the pain and completed the marathon.,He jumped out in front of the bus to save the child.,,,"تغلبت على شكي<br>و قفزت أمامه، وقلت:<br>""يا بن أنا أعمل على هذا المشروع",,于是我克服了自我怀疑<br>跳出来站到他面前说道<br>本，我正在做一个研究项目,我把所有疑慮拋諸腦後來到他面前<br>我說：「班，我正在致力於這個研究,"J’ai balayé mes doutes d'un revers de main,<br>et me suis jeté dans les bras de Ben en disant :<br>« Ben, j’ai un projet sur le feu. Comment dire ?",studies of tuin john john farnham ze ben<br>vanmorgen jongens project,"sprang vor ihn und sagte: ""Ben, ich arbeite an einem Projekt,",,,"berdiri di hadapannya, dan berkata, ""Ben, saya sedang mengerjakan proyek.","e ho detto ""Ben, sto lavorando a questo progetto.",彼の前に進み出て言ったんです 「取り組んでいる企画があって<br>何を聞けばいいかも 分からないんですが,"그의 앞에 나가서 말했어요. ""벤, 저는 이 프로젝트를 하고 있는데",,"Pozbyłem się wątpliwości, podszedłem do niego i powiedziałem,<br>""Ben, pracuję nad projektem, nie wiem nawet, o co cię spytać,","pulei na frente dele e perguntei: ""Ben, estou trabalhando em um projeto.","Pus de lado as minhas dúvidas, dei um salto em frente dele e disse:<br>""Ben, estou a trabalhar num projeto","выскочил перед ним и сказал: «Бен, я работаю над одним проектом.","me puse ante él y dije: ""Ben, estoy trabajando en este proyecto.","กระโดดขวางหน้าเขา แล้วพูดว่า ""เบน ผมกำลังทำโครงการนี้อยู่<br>และยังไม่รู้แม้แต่ว่าจะถามอะไรจากคุณ""","tôi cất lời: ""Ben, tôi đang tính thực hiện dự án này.",[sound:hypertts-57b39b343853802e5776f92aa5f1ee16b6e9b51e89ec123b3e546425.mp3],[sound:hypertts-f6fa8aad665c3255bf1e4ef5f259934f8c56b90573ee8291da3c99fc.mp3],,,eight_traits_of_successful_people ted-ed
"I don't even know what to ask you,<br>but can you tell me what helped you succeed?""","<img src=""eight_traits_of_successful_people_059.jpg"">",[sound:eight_traits_of_successful_people_059.wav],I dont even know what to ask you but can you tell me what helped you succeed,don’t even know: phrase emphasizing uncertainty,what helped you succeed: direct inquiry about cause of success,,,I don’t even know where to begin with this problem.,She asked her mentor what helped him succeed in academia.,,,"لا أعرف حتى عن ماذا أسألك<br>ولكن هل يمكن أن تخبرني ما الذي ساعدك على النجاح؟ """,,我甚至不知道问你些什么<br>但是你可以告诉我，是什么导致了你的成功么,但我不知道該問你什麼<br>可以告訴我你是怎麼成功的嗎?」,"« Ben, j’ai un projet sur le feu. Comment dire ?<br>Pourrais-tu me dire ce qui t’a permis de réussir ? »",arjan nieuwe nummer teske week in dit<br>kaliber helpt je sexy,"ich weiß nicht, was ich dich fragen soll,<br>aber was hat dich erfolgreich gemacht?""",,,"Saya bahkan tidak tahu harus bertanya apa,<br>bisakah kau ceritakan apa yang membuatmu berhasil?""","Non so neanche cosa chiederti, ma vorrei sapere<br>a cosa devi il tuo successo.""",何を聞けばいいかも 分からないんですが<br>どうやって成功したのか 教えてもらえませんか？」,"당신한테 뭘 물어야 할지도 모르지만<br>무엇이 당신을 성공하게 도왔는지 얘기할 수 있나요?""",,"powiedz, co pomogło ci odnieść sukces?"".","Nem sei o que te perguntar,<br>mas pode me dizer o que te ajudou a ter sucesso?""","""ainda nem sei bem o que lhe perguntar,<br>""mas pode dizer-me o que o ajudou a ter êxito?""","Я даже не знаю, с чего начать,<br>скажите, что помогло вам добиться успеха?»","Ni siquiera sé qué preguntarle,<br>pero ¿podría decirme qué le ayudó a tener éxito?""","และยังไม่รู้แม้แต่ว่าจะถามอะไรจากคุณ""<br>แต่คุณช่วยบอกผมหน่อย ว่าอะไรช่วยให้คุณประสบความสำเร็จ""","Tôi không biết phải hỏi ông điều gì,<br>nhưng điều gì đã giúp ông thành công vậy?""",[sound:hypertts-a6feb4b683787aa771a80da945c1ab57703a1dac2d1a32f812d27711.mp3],[sound:hypertts-2d21d7ea9cf71e2e42501ee15993c80127062836aeb20b6ff047f0c2.mp3],,,eight_traits_of_successful_people ted-ed
